,Unnamed: 0,ACCESS,ACR,나이,BATH,침실 수,BLD,COW,월 전기료,FESRP,FKITP,FPARC,FSCHP,FTAXP,월 가스비,HHL,HHT,가계 소득,LANX,결혼 상태,MV,자녀 수,R18,R65,RAC1P,방 수,RWAT,SCH,SCHL,SEX,주택 가격비교
11758,12262,1.0,1.0,43,1.0,4.0,2.0,5,150.0,0,0.0,0,0,0.0,40.0,1.0,4.0,20000.0,2,3,3.0,0.0,0.0,0.0,9,7.0,1.0,1,20,1,1.0
11759,12263,1.0,1.0,56,1.0,3.0,2.0,1,210.0,0,0.0,4,0,0.0,70.0,1.0,1.0,137000.0,2,1,2.0,0.0,0.0,0.0,2,7.0,1.0,1,20,1,1.0
11760,12264,1.0,1.0,53,1.0,3.0,2.0,1,210.0,0,0.0,4,0,0.0,70.0,1.0,1.0,137000.0,2,1,2.0,0.0,0.0,0.0,2,7.0,1.0,1,21,2,1.0
11761,12265,1.0,1.0,68,1.0,4.0,2.0,0,110.0,0,0.0,4,0,0.0,60.0,1.0,3.0,49500.0,2,3,7.0,0.0,0.0,2.0,1,6.0,1.0,1,20,2,1.0
11762,12266,1.0,1.0,40,1.0,4.0,2.0,1,110.0,0,0.0,4,0,0.0,60.0,1.0,3.0,49500.0,2,5,7.0,0.0,0.0,2.0,5,6.0,1.0,1,19,1,1.0
11763,12267,1.0,1.0,71,1.0,4.0,2.0,7,110.0,0,0.0,4,0,0.0,60.0,1.0,3.0,49500.0,2,3,7.0,0.0,0.0,2.0,1,6.0,1.0,1,16,1,1.0
11764,12268,1.0,2.0,44,1.0,3.0,2.0,1,80.0,0,0.0,2,0,0.0,50.0,1.0,3.0,32000.0,2,3,4.0,1.0,1.0,0.0,1,5.0,1.0,1,16,2,0.0
11765,12269,1.0,2.0,15,1.0,3.0,2.0,0,80.0,0,0.0,2,0,0.0,50.0,1.0,3.0,32000.0,2,5,4.0,1.0,1.0,0.0,9,5.0,1.0,2,12,1,0.0
11766,12270,1.0,3.0,45,1.0,3.0,2.0,1,150.0,0,0.0,4,0,0.0,3.0,1.0,1.0,195000.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,2,1.0
11767,12271,1.0,3.0,45,1.0,3.0,2.0,1,150.0,0,0.0,4,0,0.0,3.0,1.0,1.0,195000.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,1,1.0
11768,12272,3.0,1.0,55,1.0,2.0,2.0,1,200.0,0,0.0,4,0,0.0,3.0,1.0,1.0,62000.0,2,1,5.0,0.0,0.0,0.0,1,4.0,1.0,1,18,2,0.0
11769,12273,3.0,1.0,62,1.0,2.0,2.0,6,200.0,0,0.0,4,0,0.0,3.0,1.0,1.0,62000.0,2,1,5.0,0.0,0.0,0.0,1,4.0,1.0,1,21,1,0.0
11770,12274,1.0,1.0,35,1.0,5.0,2.0,2,100.0,0,0.0,2,0,0.0,70.0,1.0,1.0,119800.0,2,1,2.0,2.0,1.0,0.0,1,8.0,1.0,1,20,2,1.0
11771,12275,1.0,1.0,34,1.0,5.0,2.0,1,100.0,0,0.0,2,0,0.0,70.0,1.0,1.0,119800.0,2,1,2.0,2.0,1.0,0.0,1,8.0,1.0,1,20,1,1.0
11772,12276,1.0,1.0,11,1.0,5.0,2.0,0,100.0,0,0.0,2,0,0.0,70.0,1.0,1.0,119800.0,2,5,2.0,2.0,1.0,0.0,9,8.0,1.0,2,7,2,1.0
11773,12277,1.0,1.0,5,1.0,5.0,2.0,0,100.0,0,0.0,2,0,0.0,70.0,1.0,1.0,119800.0,2,5,2.0,2.0,1.0,0.0,1,8.0,1.0,2,1,1,1.0
11774,12278,1.0,1.0,33,1.0,3.0,2.0,1,170.0,0,0.0,3,0,1.0,30.0,2.0,3.0,15600.0,1,5,4.0,3.0,1.0,0.0,1,5.0,1.0,1,9,2,1.0
11775,12279,1.0,1.0,14,1.0,3.0,2.0,0,170.0,0,0.0,3,0,1.0,30.0,2.0,3.0,15600.0,1,5,4.0,3.0,1.0,0.0,1,5.0,1.0,2,11,1,1.0
11776,12280,1.0,1.0,6,1.0,3.0,2.0,0,170.0,0,0.0,3,0,1.0,30.0,2.0,3.0,15600.0,1,5,4.0,3.0,1.0,0.0,1,5.0,1.0,2,3,1,1.0
11777,12281,1.0,1.0,0,1.0,3.0,2.0,0,170.0,0,0.0,3,0,1.0,30.0,2.0,3.0,15600.0,0,5,4.0,3.0,1.0,0.0,1,5.0,1.0,0,0,2,1.0
11778,12282,3.0,1.0,78,1.0,2.0,2.0,0,170.0,0,0.0,4,0,0.0,30.0,1.0,2.0,19300.0,2,3,4.0,0.0,0.0,1.0,8,7.0,1.0,1,21,1,0.0
11779,12283,3.0,1.0,52,1.0,2.0,2.0,0,170.0,0,0.0,4,0,0.0,30.0,1.0,2.0,19300.0,2,5,4.0,0.0,0.0,1.0,3,7.0,1.0,1,13,1,0.0
11780,12284,1.0,2.0,41,1.0,4.0,2.0,1,150.0,0,0.0,3,0,0.0,250.0,1.0,1.0,182000.0,2,1,4.0,3.0,1.0,0.0,1,9.0,1.0,1,21,1,1.0
11781,12285,1.0,2.0,40,1.0,4.0,2.0,1,150.0,0,0.0,3,0,0.0,250.0,1.0,1.0,182000.0,2,1,4.0,3.0,1.0,0.0,1,9.0,1.0,1,24,2,1.0
11782,12286,1.0,2.0,10,1.0,4.0,2.0,0,150.0,0,0.0,3,0,0.0,250.0,1.0,1.0,182000.0,2,5,4.0,3.0,1.0,0.0,1,9.0,1.0,2,7,1,1.0
11783,12287,1.0,2.0,8,1.0,4.0,2.0,0,150.0,0,0.0,3,0,0.0,250.0,1.0,1.0,182000.0,2,5,4.0,3.0,1.0,0.0,1,9.0,1.0,2,5,2,1.0
11784,12288,1.0,2.0,1,1.0,4.0,2.0,0,150.0,0,0.0,3,0,0.0,250.0,1.0,1.0,182000.0,0,5,4.0,3.0,1.0,0.0,1,9.0,1.0,0,0,2,1.0
11785,12289,1.0,1.0,43,1.0,3.0,2.0,1,200.0,0,0.0,2,0,0.0,150.0,1.0,1.0,90000.0,2,1,5.0,1.0,1.0,0.0,1,5.0,1.0,1,16,1,0.0
11786,12290,1.0,1.0,40,1.0,3.0,2.0,6,200.0,0,0.0,2,0,0.0,150.0,1.0,1.0,90000.0,2,1,5.0,1.0,1.0,0.0,9,5.0,1.0,1,16,2,0.0
11787,12291,1.0,1.0,18,1.0,3.0,2.0,0,200.0,0,0.0,2,0,0.0,150.0,1.0,1.0,90000.0,2,5,5.0,1.0,1.0,0.0,9,5.0,1.0,2,14,1,0.0
11788,12292,1.0,1.0,9,1.0,3.0,2.0,0,200.0,0,0.0,2,0,0.0,150.0,1.0,1.0,90000.0,2,5,5.0,1.0,1.0,0.0,9,5.0,1.0,2,4,1,0.0
11789,12293,1.0,1.0,72,1.0,3.0,2.0,0,130.0,0,0.0,0,0,0.0,40.0,5.0,6.0,13000.0,1,1,5.0,0.0,0.0,1.0,3,6.0,1.0,1,19,2,0.0
11790,12294,3.0,1.0,93,1.0,3.0,2.0,0,80.0,0,0.0,4,0,1.0,20.0,1.0,1.0,22100.0,2,1,6.0,0.0,0.0,2.0,1,5.0,1.0,1,13,1,0.0
11791,12295,3.0,1.0,87,1.0,3.0,2.0,0,80.0,0,0.0,4,0,1.0,20.0,1.0,1.0,22100.0,2,1,6.0,0.0,0.0,2.0,1,5.0,1.0,1,16,2,0.0
11792,12296,3.0,2.0,50,1.0,4.0,2.0,6,100.0,0,0.0,4,0,0.0,60.0,1.0,2.0,30000.0,2,2,2.0,0.0,0.0,1.0,1,8.0,1.0,1,16,1,1.0
11793,12297,3.0,2.0,80,1.0,4.0,2.0,0,100.0,0,0.0,4,0,0.0,60.0,1.0,2.0,30000.0,2,2,2.0,0.0,0.0,1.0,1,8.0,1.0,1,16,2,1.0
11794,12298,1.0,1.0,37,1.0,3.0,2.0,1,150.0,0,0.0,0,0,0.0,40.0,1.0,4.0,114080.0,2,5,6.0,0.0,0.0,0.0,1,7.0,1.0,1,19,1,1.0
11795,12299,1.0,1.0,64,1.0,3.0,2.0,1,180.0,0,0.0,0,0,0.0,3.0,1.0,6.0,36000.0,2,2,7.0,0.0,0.0,0.0,1,5.0,1.0,1,16,2,0.0
11796,12300,1.0,1.0,31,1.0,3.0,2.0,1,80.0,0,0.0,1,0,0.0,60.0,2.0,1.0,96000.0,1,1,2.0,1.0,1.0,0.0,1,5.0,1.0,1,16,1,1.0
11797,12301,1.0,1.0,32,1.0,3.0,2.0,1,80.0,0,0.0,1,0,0.0,60.0,2.0,1.0,96000.0,1,1,2.0,1.0,1.0,0.0,1,5.0,1.0,1,18,2,1.0
11798,12302,1.0,1.0,0,1.0,3.0,2.0,0,80.0,0,0.0,1,0,0.0,60.0,2.0,1.0,96000.0,0,5,2.0,1.0,1.0,0.0,1,5.0,1.0,0,0,2,1.0
11799,12303,1.0,1.0,69,1.0,4.0,2.0,1,370.0,0,0.0,4,0,0.0,120.0,1.0,1.0,206000.0,2,1,3.0,0.0,0.0,2.0,3,9.0,1.0,1,15,1,1.0
11800,12304,1.0,1.0,53,1.0,4.0,2.0,1,370.0,0,0.0,4,0,0.0,120.0,1.0,1.0,206000.0,2,1,3.0,0.0,0.0,2.0,1,9.0,1.0,1,18,2,1.0
11801,12305,1.0,1.0,93,1.0,4.0,2.0,6,370.0,0,0.0,4,0,0.0,120.0,1.0,1.0,206000.0,2,1,3.0,0.0,0.0,2.0,1,9.0,1.0,1,22,1,1.0
11802,12306,1.0,1.0,85,1.0,4.0,2.0,0,370.0,0,0.0,4,0,0.0,120.0,1.0,1.0,206000.0,2,1,3.0,0.0,0.0,2.0,1,9.0,1.0,1,16,2,1.0
11803,12307,1.0,1.0,56,1.0,3.0,2.0,0,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,2,1,6.0,4.0,1.0,0.0,1,6.0,1.0,1,20,2,1.0
11804,12308,1.0,1.0,57,1.0,3.0,2.0,1,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,2,1,6.0,4.0,1.0,0.0,3,6.0,1.0,1,19,1,1.0
11805,12309,1.0,1.0,15,1.0,3.0,2.0,0,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,2,5,6.0,4.0,1.0,0.0,3,6.0,1.0,2,12,2,1.0
11806,12310,1.0,1.0,11,1.0,3.0,2.0,0,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,2,5,6.0,4.0,1.0,0.0,3,6.0,1.0,2,8,1,1.0
11807,12311,1.0,1.0,4,1.0,3.0,2.0,0,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,0,5,6.0,4.0,1.0,0.0,3,6.0,1.0,2,2,2,1.0
11808,12312,1.0,1.0,3,1.0,3.0,2.0,0,300.0,0,0.0,3,0,0.0,30.0,1.0,1.0,251700.0,0,5,6.0,4.0,1.0,0.0,3,6.0,1.0,2,1,1,1.0
11809,12313,1.0,2.0,35,1.0,3.0,2.0,1,120.0,0,0.0,2,0,1.0,3.0,1.0,1.0,185000.0,2,1,4.0,2.0,1.0,0.0,1,7.0,1.0,1,20,1,1.0
11810,12314,1.0,2.0,39,1.0,3.0,2.0,4,120.0,0,0.0,2,0,1.0,3.0,1.0,1.0,185000.0,2,1,4.0,2.0,1.0,0.0,1,7.0,1.0,1,21,2,1.0
11811,12315,1.0,2.0,11,1.0,3.0,2.0,0,120.0,0,0.0,2,0,1.0,3.0,1.0,1.0,185000.0,2,5,4.0,2.0,1.0,0.0,1,7.0,1.0,2,7,1,1.0
11812,12316,1.0,2.0,8,1.0,3.0,2.0,0,120.0,0,0.0,2,0,1.0,3.0,1.0,1.0,185000.0,2,5,4.0,2.0,1.0,0.0,1,7.0,1.0,2,4,1,1.0
11813,12317,1.0,1.0,69,1.0,4.0,2.0,0,430.0,0,0.0,4,0,0.0,80.0,1.0,3.0,42000.0,2,2,7.0,0.0,0.0,1.0,1,6.0,1.0,1,13,2,0.0
